doc_id,first_elm,second_elm
"697541","ประมวลกฎหมายวิธีพิจารณาความอาญา","195 วรรคสอง"
"697541","พระราชบัญญัติวิธีพิจารณาคดียาเสพติดให้โทษ พ.ศ.2550","3"
"698408","พระราชบัญญัติว่าด้วยความผิดอันเกิดจากการใช้เช็ค พ.ศ.2534","4"
"696739","ประมวลกฎหมายแพ่งและพาณิชย์","28 วรรคหนึ่ง, 1562"
"696739","ประมวลกฎหมายวิธีพิจารณาความอาญา","40, 44/1 วรรคหนึ่ง, 44/1 วรรคสอง, 195 วรรคสอง, 218 วรรคหนึ่ง, 225"
"696739","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","167"
"698147","ประมวลกฎหมายแพ่งและพาณิชย์","62, 63, 66 วรรคหนึ่ง, 419, 1382, 1602"
"697983","ประมวลกฎหมายอาญา","83, 84, 157, 162"
"697942","ประมวลกฎหมายแพ่งและพาณิชย์","420, 1169"
"697942","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","225 วรรคหนึ่ง, 252"
"697941","ประมวลกฎหมายแพ่งและพาณิชย์","227, 291, 296, 420, 425, 426, 852"
"697941","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","142 (5), 225 วรรคหนึ่ง, 252"
"698612","พระราชบัญญัติศุลกากร พ.ศ.2469","10 วรรคสาม, 102 ตรี (3), 112 จัตวา วรรคหนึ่ง"
"698612","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","193/14 (5), 193/31, 225 วรรคหนึ่ง, 252"
"698612","พระราชกำหนดพิกัดอัตราศุลกากร พ.ศ.2530","12"
"698313","ประมวลกฎหมายแพ่งและพาณิชย์","383 วรรคหนึ่ง"
"697169","ประมวลกฎหมายวิธีพิจารณาความอาญา","15, 218 วรรคหนึ่ง, 221"
"697539","ประมวลกฎหมายแพ่งและพาณิชย์","155"
"697539","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","94"
"697287","ประมวลกฎหมายแพ่งและพาณิชย์","193/31"
"697287","พระราชบัญญัติศุลกากร พ.ศ.2469","10 วรรคสาม"
"697287","พระราชบัญญัติศุลกากร พ.ศ.2560","19"
"697293","ประมวลกฎหมายอาญา","227"
"697296","ประมวลกฎหมายวิธีพิจารณาความอาญา","20"
"697296","พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการป้องกันและปราบปรามการทุจริต พ.ศ.2542","19 (4/2)"
"697168","ประมวลกฎหมายอาญา","177"
"697168","ประมวลกฎหมายวิธีพิจารณาความอาญา","158 (5)"
"697164","ประมวลกฎหมายแพ่งและพาณิชย์","69"
"697164","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","295 วรรคท้าย"
"696459","ประมวลกฎหมายแพ่งและพาณิชย์","1387, 1392"
"697947","ประมวลกฎหมายอาญา","91"
"697947","พระราชบัญญัติคุ้มครองเด็กที่เกิดโดยอาศัยเทคโนโลยีช่วยการเจริญพันธุ์ทางการแพทย์ พ.ศ.2558","24"
"697947","พระราชบัญญัติป้องกันและปราบปรามการมีส่วนร่วมในองค์กรอาชญากรรมข้ามชาติ พ.ศ.2556","5 (2)"
"697948","ประมวลกฎหมายวิธีพิจารณาความอาญา","15"
"697948","ประมวลกฎหมายวิธีพิจารณาความแพ่ง","225 วรรคหนึ่ง"
"697948","พระราชบัญญัติป้องกันและปราบปรามการมีส่วนร่วมในองค์กรอาชญากรรมข้ามชาติ พ.ศ.2556","24"
"697948","พระราชบัญญัติคุ้มครองเด็กที่เกิดโดยอาศัยเทคโนโลยีช่วยการเจริญพันธุ์ทางการแพทย์ พ.ศ.2558","21, 24"
"696738","ประมวลกฎหมายแพ่งและพาณิชย์","193/14 (2), 193/32"
"696738","พระราชบัญญัติล้มละลาย พ.ศ.2483","6"
